product_name,product_link,image_url,category
Chicken Muffin,https://www.mcdonalds.co.id/menu/chicken-muffin,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/UGxWzYmlGDLUpzhrhaBT.webp,Sarapan Pagi
Sausage McMuffin,https://www.mcdonalds.co.id/menu/sausage-mcmuffin,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/e4uy88JKbOpcdoJ3EXJO.webp,Sarapan Pagi
Egg McMuffin,https://www.mcdonalds.co.id/menu/egg-mcmuffin,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/PYlJyb4lmSQcFsXktwmC.webp,Sarapan Pagi
Chicken Muffin with Egg,https://www.mcdonalds.co.id/menu/chicken-muffin-with-egg,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/ILs2kh4ej7YjJzIfsf2d.webp,Sarapan Pagi
Sausage McMuffin with Egg,https://www.mcdonalds.co.id/menu/sausage-mcmuffin-with-egg,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/9hn3Gu6SwCg8TNBMaXFr.webp,Sarapan Pagi
Sausage Wrap,https://www.mcdonalds.co.id/menu/sausage-wrap,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/l47DeJBbY77Th47JfIAn.webp,Sarapan Pagi
Big Breakfast,https://www.mcdonalds.co.id/menu/big-breakfast,https://d2vuyvo9qdtgo9.cloudfront.net/foods/November2023/moYXCc5o7XBlsQhLAoxr.webp,Sarapan Pagi
Breakfast Wrap,https://www.mcdonalds.co.id/menu/breakfast-wrap,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/tq8zKUFnTgzGofSWc0jC.webp,Sarapan Pagi
Hotcakes 3 pcs,https://www.mcdonalds.co.id/menu/hotcakes-3-pcs,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/JpZhd7fyCdfzw5ahH1m4.webp,Sarapan Pagi
Hotcakes 2 pcs,https://www.mcdonalds.co.id/menu/hotcakes-2-pcs,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/jm0GYUcUqJZryNOTIhIw.webp,Sarapan Pagi
Hashbrown,https://www.mcdonalds.co.id/menu/hashbrown,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/CxinznSnispVQBobjtDt.webp,Sarapan Pagi
Nasi Uduk McD,https://www.mcdonalds.co.id/menu/nasi-uduk-mcd,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/uQSETIkvtYba9RVGHiGe.webp,Sarapan Pagi
Bubur Ayam McD,https://www.mcdonalds.co.id/menu/bubur-ayam-mcd,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/4HzEEvFji2YAKLwrXgXA.webp,Sarapan Pagi
Beef Prosperity Burger,https://www.mcdonalds.co.id/menu/beef-prosperity-burger,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/twyMt2e6uPUYlyAzY6ty.png,Sarapan Pagi
Double Beef Prosperity Burger,https://www.mcdonalds.co.id/menu/double-beef-prosperity-burger,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/PYDZHef1lDC5E1eMCniu.png,Sarapan Pagi
Big Mac®,https://www.mcdonalds.co.id/menu/big-mac,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/S2b8K7g2tM6cDksrAdVv.webp,Sarapan Pagi
Double Big Mac,https://www.mcdonalds.co.id/menu/double-big-mac,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2025/Bo5jfXo9zOAUzWnloVKt.webp,Sarapan Pagi
Triple Cheeseburger,https://www.mcdonalds.co.id/menu/triple-cheeseburger,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/juH9i1UfP50Ixlg106UP.webp,Sarapan Pagi
Double Cheeseburger,https://www.mcdonalds.co.id/menu/double-cheeseburger,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/KS7GAjWZbpEZzChSyibz.webp,Sarapan Pagi
Cheeseburger Deluxe,https://www.mcdonalds.co.id/menu/cheeseburger-deluxe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/yw7nr8nNw9jR7EeifKs9.webp,Sarapan Pagi
Cheeseburger,https://www.mcdonalds.co.id/menu/cheeseburger,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/CSzGDTewk3JMiBAvWRxj.webp,Sarapan Pagi
Beef Burger Deluxe,https://www.mcdonalds.co.id/menu/beef-burger-deluxe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/WXWUm8zeyLSXhnOZ7Oap.webp,Sarapan Pagi
Beef Burger,https://www.mcdonalds.co.id/menu/beef-burger,https://d2vuyvo9qdtgo9.cloudfront.net/foods/October2023/eY29naPEnSvHTZkUm6oq.webp,Sarapan Pagi
Paket HeBat - Beef Burger Deluxe,https://www.mcdonalds.co.id/menu/paket-hebat-beef-burger-deluxe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/July2024/Od0aM1u2WwlUFkMz4s5H.png,Sarapan Pagi
Paket HeBat McSpaghetti,https://www.mcdonalds.co.id/menu/paket-hebat-mcspaghetti,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/r0xZQf4JcmPqizEKrEvd.webp,Sarapan Pagi
Chicken Prosperity Burger,https://www.mcdonalds.co.id/menu/chicken-prosperity-burger-1,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/bL07RAUe88njluAtPBnU.png,Sarapan Pagi
PaNas 1 Ayam McD Black Pepper,https://www.mcdonalds.co.id/menu/panas-1-ayam-mcd-black-pepper,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/TIv10rHn9dMF0t4pW2g3.png,Sarapan Pagi
Paket Ayam McD Black Pepper Spesial,https://www.mcdonalds.co.id/menu/paket-ayam-mcd-black-pepper-spesial,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/Ifj34Dq4vX5exr6h6utg.png,Sarapan Pagi
PaNas 2 Ayam McD Black Pepper,https://www.mcdonalds.co.id/menu/panas-2-ayam-mcd-black-pepper,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/IWwbUXLUVVBv3kRFeQNS.webp,Sarapan Pagi
PaNas 2 Fries Ayam McD Black Pepper,https://www.mcdonalds.co.id/menu/panas-2-fries-ayam-mcd-black-pepper,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/yZu9NtIwxFoMf3CXZhkd.png,Sarapan Pagi
PaMer 5 Ayam McD Black Pepper,https://www.mcdonalds.co.id/menu/pamer-5-ayam-mcd-black-pepper,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/uVZydIjORFQpwsMGKtqH.png,Sarapan Pagi
PaMer 7 Ayam McD Black Pepper,https://www.mcdonalds.co.id/menu/pamer-7-ayam-mcd-black-pepper,https://d2vuyvo9qdtgo9.cloudfront.net/foods/December2025/9JyVqBtC4lEnANtrY9Un.png,Sarapan Pagi
Paket HeBat - Chicken Burger Deluxe,https://www.mcdonalds.co.id/menu/paket-hebat-chicken-burger-deluxe,https://d2vuyvo9qdtgo9.cloudfront.net/foods/July2024/cLkDZAyReFLUzJGQ5OBi.png,Sarapan Pagi
